_id,id,device_id,record_oid,count_start_date,count_end_date,average_daily_car_traffic,neighborhood_size ,counter_number,counter_type,speed_limit,max_speed,median_speed,percent_over_limit,speed85_percent,speed95_percent,longitude,latitude,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone
37,1412494129,116,159026183,7/5/19,7/11/19,3150,,6,StatTrak,,,34,95,39,43,-7993727559,4043804843,Squirrel Hill North,5,14,42003140100,3,14,4,2/8/24
38,1419330323,92,1083199734,4/26/19,5/4/19,12335,1.004,,StatTrak,25,,31,87,36,39,-7989620029,404444114,Point Breeze,9,14,42003140600,3,14,4,3/14/24
39,1432224337,150,2014846017,,,,,,StatTrak,25,,,,,,-8004879395,4043135694,Westwood,2,28,42003563100,5,28,6,1/18/24
40,144345379,192,383914084,10/14/19,10/21/19,16729,0.192,3,StatTrak,25,,30,86,35,38,-7989667461,4043681375,Regent Square,5,14,42003141000,3,14,4,2/16/24
41,1463283046,115,665615900,6/28/19,7/5/19,8911,,15,StatTrak,,,27,,33,37,-7993166971,4045903735,East Liberty,7,8,42003111500,2,8,5,3/23/24
42,1466903750,3,2009670262,9/13/18,9/20/18,8407,,,StatTrak,25,77,32,97,36,39,-7992899198,404693202,East Liberty,9,11,42003111300,2,11,5,3/4/24
43,1468921509,132,1461288045,7/18/19,7/26/19,1265,,1,StatTrak,25,,26,56,30,33,-7991650754,4044561249,Point Breeze,8,14,42003140400,3,14,4,2/17/24
44,1503643471,55,1966066309,1/14/19,1/22/19,1786,0.963,14,StatTrak,25,,18,4,21,24,-7996050515,4047360042,Central Lawrenceville,7,9,42003090100,2,9,2,3/3/24
45,1530178639,68,676704832,2/5/19,2/14/19,,,,StatTrak,,,,,,,-7998086521,4043660264,Bluff,6,1,42003010300,3,1,2,2/1/24
46,1533566550,196,1464305119,10/21/19,10/29/19,527,0.302,4,StatTrak,25,,23,25,27,30,-7998968666,4041812496,Knoxville,3,30,42003300100,5,30,3,4/6/24
47,1566340195,24,1549751514,10/21/19,10/28/19,3776,0.281,5,StatTrak,25,,25,47,30,33,-799493951,4044112373,Central Oakland,5,4,42003040600,3,4,4,2/8/24
48,1568219989,31,2101724073,1/14/19,1/22/19,6443,,,StatTrak,25,,25,47,32,36,-7998064703,4045349731,Strip District,7,2,42003020300,6,2,2,2/25/24
49,1581659026,7,371546790,10/19/18,11/8/18,,,,Tube,,,,,,,-7995142134,4044225095,Central Oakland,3,4,42003982200,3,4,4,2/8/24
50,1591011355,165,,,,,,,,,,,,,,-7996331914,4043938259,West Oakland,6,4,42003040200,3,4,4,2/14/24
51,1592268905,111,242374247,6/28/19,7/5/19,6984,,11,StatTrak,35,,30,14,35,39,-7995007952,4045402427,Bloomfield,7,8,42003080400,2,8,5,2/23/24
52,1598018270,71,1717624375,2/14/19,2/18/19,,,2,StatTrak,,,,,,,-7994205758,4045106804,Shadyside,8,7,42003070900,2,7,4,3/22/24
53,1604686268,37,1114667008,6/5/18,6/21/18,976,,,StatTrak,25,,272,,287,298,-7992591208,4042485559,Greenfield,5,15,42003151700,3,15,4,2/15/24
54,1628179164,14,747494082,6/5/18,6/21/18,,,,,,,,,,,-7992618443,4042126864,Greenfield,5,15,42003151700,3,15,4,2/15/24
55,1635967977,12,1029658716,12/12/19,12/24/19,1080,,16,StatTrak,25,,24,39,31,36,-799155315,40471092,Highland Park,7,11,42003110600,2,11,5,3/9/24
56,1658184502,60,1739195149,3/8/19,3/14/19,1218,,5,StatTrak,25,,19,10,24,27,-7991288926,4046107368,Larimer,9,12,42003120800,2,12,5,3/12/24
57,1667548447,62,1755445415,3/7/19,3/14/19,728,,2,StatTrak,25,,22,22,27,29,-7991397019,4046013288,Larimer,9,12,42003120800,2,12,5,3/10/24
58,1669534769,10,1211728398,8/20/18,9/4/18,2931,0.415,,StatTrak,25,73,32,44,36,40,-8007339585,4045766034,Windgap,2,28,42003563000,5,28,6,1/16/24
59,1670424503,45,256296411,12/11/18,12/20/18,2046,,2,StatTrak,25,56,30,85,35,38,-8002553687,4040494914,Beechview,4,19,42003192000,5,19,6,4/28/24
60,1679750822,146,1502387803,,,,,,StatTrak,25,,,,,,-799654313,4041840112,South Side Slopes,3,16,42003160800,3,16,3,4/22/24
61,1683704966,74,2021427153,2/14/19,2/22/19,7111,,,StatTrak,25,,32,91,38,41,-7994753931,4045629549,Bloomfield,7,8,42003080400,2,8,5,2/23/24
62,1691716209,33,104424121,12/12/19,12/24/19,1530,,5,StatTrak,25,,22,15,25,28,-7996058225,4045581498,Upper Hill,6,5,42003050600,3,5,2,2/22/24
63,1706030566,131,461114479,12/4/18,,,,,Intersection Study,,,,,,,-7992916037,4046265524,East Liberty,9,8,42003111500,2,8,5,3/23/24
64,1715881199,134,892947564,8/30/19,9/9/19,781,,12,StatTrak,25,,24,35,28,31,-7991884232,4044270124,Squirrel Hill North,8,14,42003140300,3,14,4,2/18/24
65,1717007839,155,296679783,8/4/17,,,,,Intersection Study,,,,,,,-7998924526,4044881881,Strip District,7,2,42003020300,6,2,2,2/3/24
66,1719894567,52,647961876,1/2/19,1/10/19,5490,,13,StatTrak,25,,33,96,37,39,-7991556754,4043463262,Squirrel Hill South,5,14,42003140800,3,14,4,2/21/24
67,1748063787,138,2093126519,6/6/19,,,,,Intersection Study,,,,,,,-7996322543,4044463282,North Oakland,8,4,42003982200,3,4,4,2/10/24
68,1762392161,117,445302996,7/9/19,7/12/19,,,1,StatTrak,25,,31,89,36,39,-8000378538,4044698296,North Shore,1,22,42003563200,6,22,1,1/20/24
69,1764179882,218,2070392086,11/22/19,12/4/19,4016,,3,StatTrak,25,,33,95,37,40,-7994220469,404807247,Stanton Heights,9,10,42003101800,2,10,5,3/5/24
70,1767041391,217,1950664877,11/22/19,12/4/19,6090,,2,StatTrak,25,,30,76,35,38,-7993672854,4048122548,Stanton Heights,7,10,42003101800,2,10,5,3/7/24
71,1768576138,75,648748382,3/22/19,3/29/19,9405,0.278,11,StatTrak,25,,39,98,45,50,-8002854943,4045486521,Manchester,6,21,42003210700,1,21,1,1/8/24
72,1778941167,171,755918726,8/1/19,8/9/19,8243,0.716,5,StatTrak,25,,31,92,36,39,-7998340694,4042169397,South Side Slopes,3,17,42003170600,3,17,3,4/3/24
73,1780264395,154,1346599065,11/30/17,,,,,Intersection Study,,,,,,,-7996202491,4043571895,South Oakland,6,4,42003040900,3,4,4,2/10/24
74,1783830298,99,644311719,5/28/19,6/5/19,927,,2,StatTrak,25,,22,26,28,32,-799358625,40439286,Squirrel Hill North,8,14,42003140100,3,14,4,2/8/24
75,1784275556,108,215436152,6/13/19,6/20/19,,,,StatTrak,25,,21,8,24,,-7992935523,404806988,Morningside,7,10,42003101400,2,10,5,3/7/24
76,181106020,184,2107178505,9/9/19,9/17/19,763,1.46,14,StatTrak,25,,22,20,27,30,-8002645665,4040951121,Beechview,4,19,42003191600,5,19,6,4/28/24
77,1811704043,164,,,,,,,,,,,,,,-7994499233,4040869619,Hazelwood,5,15,42003562900,3,15,4,2/13/24
78,1831547274,122,404240136,3/2/19,,,,,Intersection Study,,,,,,,-7996256825,4043853938,South Oakland,6,4,42003040900,3,4,4,2/14/24
79,1838413170,208,367296608,11/14/19,12/4/19,317,,4,StatTrak,25,,22,21,27,30,-7991835449,4047036337,Highland Park,7,11,42003110600,2,11,5,3/9/24
80,1858604360,43,1603853069,12/4/18,12/8/18,768,,2,StatTrak,25,20,193,0,195,198,-7996113978,4045873516,Polish Hill,7,6,42003060500,6,6,2,2/6/24
81,1885274692,13,563616731,12/12/19,12/24/19,4548,,,StatTrak,,,28,,32,35,-7991541,4047216898,Highland Park,7,11,42003110600,2,11,5,3/9/24
82,1890248654,182,414168419,9/9/19,9/17/19,1410,1.212,11,StatTrak,25,,18,1,20,22,-8001451118,4048540243,Perry North,1,26,42003260700,1,26,1,1/15/24
83,1892724639,206,1551520471,11/14/19,11/22/19,2450,,3,StatTrak,25,,25,43,29,32,-7993147351,404350968,Squirrel Hill South,5,14,42003141300,3,14,4,2/21/24
84,1901404544,124,1353107740,7/9/19,,,,,Intersection Study,,,,,,,-7996308762,4046819844,Lower Lawrenceville,7,6,42003060300,2,6,2,3/3/24
85,1909253901,200,382287114,11/4/19,11/13/19,416,,3,StatTrak,25,,22,21,27,30,-7993259811,4044978768,Shadyside,8,7,42003070300,2,7,4,3/22/24
86,1910901085,211,1129909123,6/11/19,6/11/19,,,Tuesday SPC video count,,,,,,,,-799619266,4042706242,South Side Flats,3,16,42003160900,3,16,3,4/24/24
87,1920331937,57,951153209,1/24/19,1/27/19,5151,,,StatTrak,25,,30,82,36,40,-7991268541,4046014717,Larimer,9,12,42003120800,2,12,5,3/10/24
88,1922660255,104,,,,,,,,,,,,,,-7991220792,4044320727,Point Breeze,9,14,42003981100,3,14,4,2/18/24
89,1927765267,220,2128886737,12/12/19,12/24/19,4550,0.499,3,StatTrak,25,,28,77,32,35,-7995546822,4044952206,North Oakland,8,4,42003562000,3,4,4,2/7/24
90,1931690242,95,670720124,5/16/19,5/28/19,,,3,StatTrak,25,,,,,,-7999753526,4038585034,Overbrook,4,32,42003320700,5,32,3,4/25/24
91,193365102,152,1397392243,4/5/18,,,,,Intersection Study,,,,,,,-799173396,4045747705,Larimer,9,12,42003120800,2,12,5,3/13/24
92,1937275532,15,1524870004,10/18/18,11/8/18,,,,Tube,,,,,,,-7995222986,4044355804,North Oakland,8,4,42003982200,3,4,4,2/8/24
93,1944653312,214,,,,,,,,,,,,,,-7992723824,4041953524,Greenfield,5,15,42003151700,3,15,4,2/12/24
94,1949792833,34,423973251,4/19/19,4/26/19,13788,0.541,5,StatTrak,25,,38,98,45,50,-7987884462,4045609866,East Hills,9,13,42003130600,2,13,5,3/17/24
95,1950996584,167,1709615411,8/1/19,8/9/19,5831,0.623,1,StatTrak,25,,25,48,30,33,-8001896038,4043810096,Duquesne Heights,2,19,42003191100,5,19,3,4/1/24
96,1962477925,185,1815733444,9/9/19,9/17/19,1468,,0.499,StatTrak,25,,21,21,27,32,-8002168961,4039386195,Brookline,4,19,42003191800,5,19,6,4/26/24
97,1970919677,51,152378178,12/28/18,1/10/19,5787,,11,StatTrak,25,,28,68,32,36,-7992516869,404710773,East Liberty,9,11,42003111300,2,11,5,3/9/24
98,197297885,44,1074767029,12/11/18,12/20/18,4301,,1,StatTrak,25,61,27,60,32,36,,,Mount Washington,2,19,42003190300,5,19,3,4/1/24
99,1978276806,35,1470358683,,,,,,StatTrak,,,,,,,-7989508807,4046746757,Lincoln-Lemington-Belmar,9,12,42003561900,2,12,5,3/18/24
100,1991312704,109,1227701093,6/14/19,6/24/19,3304,0.69,,StatTrak,25,,,60,31,35,-8005406427,4045416573,Sheraden,2,20,42003562500,5,20,6,1/16/24
101,1999344253,30,869081196,,,,,,StatTrak,,,,,,,-8003886571,4043751249,Elliott,2,20,42003562600,5,20,6,1/17/24
102,1999971120,28,821675395,11/20/18,11/29/18,1802,0.362,1,StatTrak,25,60,28,71,32,35,-7993023611,4048119172,Morningside,7,10,42003101400,2,10,5,3/7/24
103,2010535291,32,349231465,10/21/19,10/29/19,1049,,1,StatTrak,25,,21,15,25,29,-7995893404,4045986096,Polish Hill,7,6,42003060500,6,6,2,2/6/24
104,2010764703,112,337528599,6/28/19,7/5/19,7579,,12,StatTrak,35,,34,40,39,43,-7995056556,4045414752,North Oakland,6,5,42003562000,3,5,4,2/23/24
105,2036930509,69,1766709460,2/14/19,2/19/19,7621,,6,StatTrak,25,,26,,32,37,-7994232312,4044625098,Squirrel Hill North,8,14,42003140100,3,14,4,2/26/24
106,2043200367,19,198025605,9/21/18,10/17/18,,,,Tube,,,,,,,-8000353171,4043277645,South Shore,3,19,42003980700,5,19,3,4/2/24
107,2049722358,5,788509482,10/17/18,10/29/18,4015,,,StatTrak,25,56,29,81,33,36,-8001367658,4043088376,Mount Washington,2,19,42003190300,5,19,3,4/1/24
108,2051810147,215,,,,,,,,,,,,,,-799714485,4045971601,Strip District,7,6,42003020300,6,6,2,3/2/24
109,2081817713,16,1173781973,10/18/18,11/8/18,3580,,,Tube,,,,,,,-7994878377,4044199223,North Oakland,8,4,42003982200,3,4,4,2/8/24
110,2101056227,39,390219700,6/25/18,7/11/18,5327,,,StatTrak,25,49,21,10,24,28,-7991887807,4047948497,Highland Park,7,11,42003980100,2,11,5,3/9/24
111,2105934554,170,537629304,8/1/19,8/9/19,9075,,4,StatTrak,25,,32,91,37,40,-8000697132,4042044846,Mount Washington,2,19,42003191500,5,19,3,4/16/24
112,2140403077,89,1958633037,,,16711,0.5,,StatTrak,25,,34,90,41,45,-7998250998,4045106102,Strip District,7,2,42003020300,6,2,2,2/3/24
113,2144656649,145,,,,,,,,,,,,,,-8002346881,4041684574,Beechview,4,19,42003191600,5,19,6,4/28/24
114,2146294802,194,1598450025,12/12/19,12/24/19,5015,,4,StatTrak,25,,32,94,36,39,-7991097942,4043563381,Squirrel Hill South,5,14,42003140800,3,14,4,2/21/24
115,227010728,90,1841997569,1/14/19,1/22/19,2305,0.64,,StatTrak,25,,19,6,23,25,-7999886586,4043812771,Central Business District,6,1,42003020100,6,1,2,1/4/24
116,227082796,209,1717953508,11/14/19,12/2/19,995,,1,,25,,20,9,24,27,-7991624686,4047001795,Highland Park,7,11,42003110600,2,11,5,3/9/24
117,235210908,139,1849077535,6/6/19,,,,,Intersection Study,,,,,,,-7995373577,4044320393,North Oakland,3,4,42003982200,3,4,4,2/7/24
118,249390037,166,,,,,,,,,,,,,,-79946262,4046212801,Bloomfield,7,8,42003080900,2,8,5,3/6/24
119,26685456,42,1014355185,,,,,,,,,,,,,-7998255105,4045456098,Strip District,7,2,42003020300,6,2,2,2/25/24
120,275496503,180,1511161277,8/30/19,9/9/19,317,,16,StatTrak,25,45,21,22,27,32,-7992604991,4046882391,East Liberty,9,11,42003111300,2,11,5,3/8/24
121,283927123,160,,,,,,,,,,,,,,-799599285,40439268,Central Oakland,3,4,42003040500,3,4,4,2/14/24
122,286504681,119,378111062,7/9/19,7/18/19,,,4,StatTrak,25,,,,,,-79916863,4044124594,Squirrel Hill North,8,14,42003140300,3,14,4,2/18/24
